0,1,2
外科,鼻塞 感冒 治疗 小儿氨酚黄那敏颗粒 医院 检查,0
颈椎病 症状 疼痛 头痛 头晕,口服 云南白药胶囊 维生素,0
肌肉 萎缩 营养 肌肉 肌肉 理疗 康复 神经 营养 药物 弥可保 神经节 药物 医院 诊断,便秘,0
胎儿,症状 阳虚 药物 桂附地黄丸 桂附地黄丸 精神,0
滑膜炎 急性 创伤 慢性 损伤 关节 滑膜 充血 水肿 急性 外伤 关节 扭伤 关节 急性 关节 滑膜炎 损伤 外伤 慢性 关节 劳损 湿邪 关节 慢性,晚孕,0
疼痛 关节 疼痛 疼痛 疼痛 关节 人体 细胞 器官,妊娠 晚期 羊水过少 羊水 怀孕 医院,0
病毒 青霉素 清开灵 药物 治疗 睡眠 口腔 卫生,高血压 糖尿病 动脉硬化,0
子宫 输卵管 卵巢 下丘脑 检查 检查 输卵管,中医,0
治疗 怀孕 治疗 创伤 治疗,血压 高压 低压,0
便秘 排便 维生素 纤维素 消化,高压 低压 高血压,0
腰椎 腰椎 神经 腰椎 病变 治疗 手术 治疗 治疗 热敷 疗法 中药 药物 治疗 治疗 推拿 治疗 治疗 针灸 治疗 中药 治疗 治疗 手术 治疗 康复,麻木 不适 疼痛 腰椎 神经 CT 检查 腰椎 诊断 医院 理疗 治疗 药物 治疗,1
脂肪组织 疾病 医院 外科 检查 治疗 脂肪 治疗,月经 排卵 月经 月经 检测 怀孕,0
B超 检查 胎儿,症状 口腔 疾病 口臭 症状 中医 清热解毒 治疗 治疗 疾病 症状 中医 中药 治疗,0
龟头炎 创伤 水肿 红斑 糜烂 感染 溃疡 疼痛 湿敷,怀孕 胎儿 发育 叶酸 肝脏 叶酸 肝脏,0
检查,中药 咳嗽 支气管炎 支气管 肺炎 中药 治疗,0
怀孕 痔疮 痔疮 疾病 妊娠 胎儿 静脉 静脉 静脉 静脉 扩张 痔疮 排便 出血 外痔 疼痛 肛门 肿物 中药 出血 医院 注射 手术 治疗,痔疮 便秘 腹泻 内痔 出血 肛门 肿物 外痔 疼痛 痔疮 口服 槐角丸 治疗 肛门 防治 便秘 腹泻,1
便秘,疗法 免疫力,0
心脾两虚 缓解 不适 症状,心脾两虚 缓解 不适 症状,1
皮肤 祛痘 皮肤,糖尿病 临床 乏力 并发症 药物 治疗 检查 疾病,0
痔疮 传染 痔疮 肛门 异物 疼痛 出血 症状 痔疮 医院 肛肠科 槐角丸 三七 口服 中药 痔疮膏 治疗,痔疮 治疗 消化 肛管 痔疮栓 痔疮膏,1
痔疮 遗传性 痔疮 出血 出血 出血 便秘 出血 诱因 脱出 脱出 肛门 肛门 痔疮 手术 缓解 便秘 痔疮 手术,痔疮 血尿 膀胱炎 结石 尿液 尿血 B超 检查 消炎 药物 治疗,1
痔疮 排便 肛门 排泄 心脑血管 机能 便秘 肌肉 痔疮 防治 大腿 肛门 呼气,感冒,0
耳鸣 耳鸣 耳鸣 耳鸣 病因 诊断 检查 检查 检查 耳鸣 神经科 疾病 检查 医院 诊断 病变 部位 治疗,耳鸣 耳鸣 耳鸣 耳鸣 病因 诊断 检查 检查 检查 耳鸣 神经科 疾病 检查 医院 诊断 病变 部位 治疗,1
医院 妇科 检查 炎症 治疗 月经,高血压 糖尿病 动脉硬化,0
检查,医院 检查,1
排卵 月经 卵子 卵巢 受精 精子 受精 卵子 排卵 排卵,病理,0
外痔 肛门 疼痛 不规则 外痔 排便,治疗,0
防治 体质 低血压 摄取 蛋白质 叶酸 血压 体位性低血压 患者 低血压 病人 血压 血容量 营养 低血压,感冒,0
药物 治疗 中药 治疗,肌肉 便秘 肛门 直肠 脱出 便秘 痔疮,0
月经 怀孕 月经 怀孕 怀孕 检测 怀孕 检测 怀孕,月经 避孕 怀孕 早孕 检查 怀孕,1
流产 医院 B超 检查 保胎 治疗 保胎 患者 营养 口服 治疗 流产 出血 妊娠,怀孕 流产 医院 保胎 治疗,1
痔疮 便秘 康复 药物 手术 治疗,精神,0
排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,药物,0
消炎 药物 治疗 治疗,排卵 月经 卵子 卵巢 受精 精子 受精 卵子 排卵 排卵,0
检查 羊水 羊水 羊水 羊水 检查 羊水 羊水 羊水,症状 治疗 精神,0
尿频 尿常规 慢性 前列腺炎 医院 泌尿 外科 化验 细菌 治疗,临床 尿液 泌尿系 疾病 疾病 膀胱 疾病 尿路感染 前列腺炎 尿液 医院 检查 治疗,1
月经 避孕 药物 避孕 怀孕 月经 排卵,发烧 病因 肺炎 传染病 发烧 症状 病毒 感染 发热 发烧,0
神经炎 麻木 神经炎 症状,营养,0
甲状腺激素 分泌 生理 疾病 患者 检查 治疗 治疗 治疗 患者 治疗,甲状腺 人体 器官 部位 甲状软骨 气管 治疗 患者 治疗 治疗 患者 治疗 治疗 治疗 治疗 医院 检查,1
胎儿 发育 器官 骨骼 检查 检查 胎儿 发育,痤疮 红斑 丘疹 疾病,0
怀孕,痛风 不适 症状 痛风 嘌呤 损伤 疾病 临床 高尿酸血症 急性 关节炎 发作 痛风石 慢性 关节炎 关节 畸形 痛风 肾功能 痛风 内分泌 关节 症状 检查 治疗 痛风 治疗 治愈 痛风 症状 蛋白质,0
白癜风 患者 部位 部位 光滑 鳞屑 白癜风 晚期 治疗 白癜风 症状 治疗 白癜风 治疗,剖宫产 分娩 胎儿 窒息,0
紊乱 中医 六味地黄丸 谷维素片 黄芪精 口服液,感冒,0
皮疹 痤疮,重症肌无力 骨骼肌 疲劳 症状 患者 复视 营养,0
颈椎病 神经 脑炎 神经性头痛 感冒 症状 医院 检查 内科,营养,0
高血压 糖尿病 动脉硬化,医院 检查 检查 治疗 治疗 治疗,0
B超 检查,症状 盗汗 虚汗 头晕 耳鸣 黑芝麻 药物 口服 六味地黄丸,0
月经 月经 怀孕 医院 检查 B超 检查 月经,月经 月经 早孕 怀孕 怀孕 怀孕 医院 妊娠 检查,1
头晕 四肢 临床 慢性 疾病 低血压 治疗 低血压 营养 处方 中药 治疗,排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,0
头晕 四肢 临床 慢性 疾病 低血压 治疗 低血压 营养 处方 中药 治疗,头晕 四肢 临床 慢性 疾病 低血压 治疗 低血压 营养 处方 中药 治疗,1
B超 胎儿 体重 胎儿 体重 胎儿 体重 B超,疾病 疾病 患者 免疫力 营养 机能 治疗 白癜风 治疗 治疗 患者 治疗,0
孕妇 胎儿 发育 孕妇 胎儿 孕妇 胎儿 骨骼,消炎 药物,0
鼻腔 鼻腔 鼻涕 鼻腔 鼻涕 婴儿 鼻涕 口腔,扭伤 恢复 膝关节 部位 接触 检查 膝关节 部位 中药 治疗,0
腰椎 药物 治疗 症状 理疗 针灸 按摩 推拿 症状 疼痛 医院 检查 治疗 睡眠 肌肉 韧带 关节囊 软组织 腰椎 腰椎 发作 腰椎,排卵 月经 排卵 排卵 怀孕,0
精神,怀孕 月经 月经 检查 怀孕,0
药物 流产 妊娠 药物 米非司酮 妊娠 药物 B超 医院 妇科 B超 怀孕 药物 流产,妊娠 药物 流产 怀孕 药物 流产 麻醉 患者 疼痛 药物 流产 流产 医院 子宫,1
疫苗,症状 盗汗 乏力 脱发 黑芝麻 六味地黄丸,0
症状 周围神经 病变 颈椎病 病因 麻木 营养神经 弥可保 治疗,脾虚 失调,0
中医 中药 方剂 小柴胡汤 小柴胡颗粒 暴饮暴食 医院 检查 治疗,充血 皮肤 充血 皮肤,0
湿疹 慢性 皮肤 病因 复发 皮肤 瘙痒 湿疹 医院 治疗,怀孕 胎儿 发育 叶酸 肝脏 叶酸 肝脏,0
怀孕,治疗 治疗 手术 治疗 治疗 患者 治疗 中药 治疗 软骨 治疗 手术 治疗 治疗,0
肾功能 发育,痔疮 手术 治疗 治疗 根治 痔疮膏 痔疮栓 症状 手术 根治,0
乳酸亚铁 腹泻 药物 贫血 肝脏 治疗,贫血 贫血 缺铁性贫血 肝脏 口服液 吸收,1
怀孕 胎儿 营养 发育 蛋白质 营养,肺癌 晚期 手术 中药 中药,0
避孕 怀孕 乳房 症状 怀孕 月经 怀孕,精神,0
便秘,皮肤科 白癜风 白癜风 治疗 皮肤病 医院 斑点 斑点 紫外线 皮肤科,0
腰椎 坐骨神经痛 疼痛 放射 治疗,排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,0
怀孕 阴道 孕囊 妊娠 怀孕 月经 妊娠 药物 流产 妊娠 流产,哺乳期 怀孕 药物 流产 药物 流产 流产 手术 子宫 损伤 哺乳期 子宫 手术 子宫 药物 流产 药物 流产 医院 检查 治疗,1
高压 低压 高血压,月经 月经 分泌 失调 月经 内分泌 失调 妇科 炎症 中医 益母草 中草药 治疗,0
怀孕,脱发 头皮 生理 脱发 脱发 脂溢性脱发 脱发 头皮 萎缩 脂溢性脱发 激素 分泌 皮脂 增生 营养,0
晚孕,痔疮 便秘 手术 马应龙痔疮膏 槐角丸 治疗 维生素 抵抗力,0
骨盆,中药 咳嗽 支气管炎 支气管 肺炎 中药 治疗,0
大脑,妊娠 晚期 羊水过少 羊水 怀孕 医院,0
症状 低血压 低血糖 疲劳 营养 检查 血压 血糖 治疗 预防 检查,皮肤 祛痘 皮肤,0
感冒,偏头痛 酪氨酸 消化 吸收,0
胎儿 缺氧 医院 检查 胎儿,怀孕 胎位 胎位 医院 监护 胎儿 缺氧 营养 贫血,1
甲状腺 分泌 甲状腺激素 疾病 甲状腺激素 临床 食欲亢进 症状 疾病 药物 治疗 根治 复发 中医 治疗 中医 治疗,甲状腺 甲状腺 甲状腺激素 器官 神经 消化 兴奋性 亢进 疾病 药物 治疗 手术 治疗 药物 治疗 手术 疗法 药物 治疗 并发症,1
营养,发烧 临床 体温 酸痛 发烧 感冒 发烧 疾病 医院 发烧 症状 发烧 疾病,0
内分泌 紊乱 性激素 检查 治疗 乌鸡白凤丸 月经 医院 空腹 检查 检测,怀孕 月经 临床 内分泌 月经 子宫内膜炎 子宫内膜 病变 月经 治疗 月经 检查 B超 性激素 病因 治疗 调经 中药,1
阴道炎 治疗 阴道 治疗 卫生 外阴 阴道炎 药物 治疗 阴道 口服 硝呋太尔 治疗 洁尔阴 治愈 阴道炎 药物,猕猴桃,0
过敏 症状 药物 治疗 治疗,臀位 分娩 医院 产前 检查 腹围 分娩,0
粘膜 皮肤,治疗,0
支气管炎 扁桃体 咽喉炎 睡眠 咳嗽 呼吸 阿莫西林 罗红霉素 治疗 甘草片 化痰 治疗,怀孕,0
支气管炎 细菌 病毒 感染 口服液 口服液,月经 胎儿 发育 胎儿,0
炎症 治疗,贫血 缺铁性贫血 正常值 摄取 肝脏 吸收 黑芝麻,0
新生儿,脂肪组织 疾病 医院 外科 检查 治疗 脂肪 治疗,0
大脑,皮炎 感染 酮康唑 氟康唑 胶囊 卫生 卫生,0
治疗,怀孕 月经 月经 排卵 排卵 月经 月经 怀孕,0
排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,医院 医院,0
湿疹,月经 月经 排卵,0
胎儿 发育 营养 怀孕 营养,疱疹,0
龟头炎 创伤 水肿 红斑 糜烂 感染 溃疡 疼痛 湿敷,胎儿 胎儿 胎位,0
排便 肛门 排泄 心脑血管 机能 便秘 肌肉 痔疮 防治 大腿 肛门 呼气,晚孕,0
发育 发育 器官 发育 双顶径 腹围 股骨 双顶径 腹围 股骨 怀孕 发育 发育,糖尿病 患者 医院 检查 化验 血糖,0
月经 月经 妇科 炎症 内分泌 紊乱 精神 贫血 子宫 流产 子宫内膜结核 病变 子宫 月经 闭经 医院 激素 B超 病因 治疗,空腹 血糖,0
感冒,大脑 肌肉 骨骼 淋巴 皮肤 部位 疲劳 精神 失调 交感神经 副交感神经,0
治疗,精液 阴道 月经 排卵,0
孕妇 胎儿 胎儿 窒息,医院 检查,0
治疗 糖皮质激素 下鼻甲 激光 神经 变应原 接触 免疫 疗法 特异性 疗法 皮肤 阳性 变应原 注射 剂量 治疗 剂量 治疗 患者 特异性 变应原 细胞 变应原 敏感性,脾虚 失调,0
检查,阴虚 阳虚 脾虚 阴虚 中医 中医 诊断 诊断,0
医院 检查 检查,孕妇 胎儿 胎儿 窒息,0
治疗 症状 剂量 治疗,羊水 胎儿 缺氧 胎儿 缺氧,0
胎盘 流产,乳腺 增生 良性 病变,0
出血 痔疮 痔疮 肠炎 治疗 痔疮 肛裂 肛肠 医院 手术 康复 治疗 痔疮 肛裂,痔疮 痔疮 肛门 粘膜 静脉丛 曲张 便血 疼痛 排便 肛门 瘙痒 便秘 症状 手术 治疗 激光 手术,1
畸形,避孕药 怀孕 月经 月经,0
腰椎 治疗 治疗 腰椎 椎间盘,腰椎 椎管 疼痛 大腿 疼痛 下肢 麻木 不适 医院 骨科 检查 治疗 椎间盘 椎管狭窄 治疗 治疗,1
空腹 血糖,空腹 血糖,1
空腹 血糖,肺癌 晚期 传染 治疗 抑制 患者 治疗 癌症 治疗 治疗 中医 治疗 患者 疾病 患者,0
排卵 月经 排卵 排卵 怀孕,皮脂 炎症 检查 药物,0
口臭 口腔科 口腔 疾病 牙龈炎 牙结石 超声波 消化 消化 内科 胃病 消化,口臭 口腔科 口腔 疾病 牙龈炎 牙结石 超声波 消化 消化 内科 胃病 消化,1
清开灵 发热 疾病 治疗 中医 药物 发热 体温 恢复,怀孕,0
呼吸,体温 低热 体温 医院 低热 慢性 疾病 临床 疾病 慢性 扁桃体炎 慢性 尿路感染 结核 慢性 感染性 疾病 低热 盗汗 午后潮热 体重 结核 体重 医院 检查 低热,0
大腿 针灸,中药 咳嗽 支气管炎 支气管 肺炎 中药 治疗,0
中医 治疗 野菊花 山豆根 蒲公英 桔梗 板兰根 麦冬 抵抗力,胎儿 怀孕,0
孕妇 感冒 喷嚏 流涕 咳嗽 症状,畸形,0
怀孕 怀孕 流产 胎儿,乳腺炎 乳腺 检查,0
黄疸 消退 食欲不振 临床 症状 黄疸 消退 黄疸 黄疸 医院 疗法 中医 治疗,注射 狂犬疫苗 注射 疫苗 咬伤 注射 肌肉 注射 疫苗 注射,0
精神科 临床 治疗 治疗,便秘 胎儿 晚期 妊娠 胎儿 乙状结肠 便秘,0
高压 低压 高血压,痔疮 便秘 治疗 马应龙痔疮膏 治疗 维生素,0
分娩,便秘 治疗 治疗 便秘 症状 排便,0
怀孕,痔疮 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 痔疮 症状 便血 疼痛 脱出 肛门 瘙痒 不适 便秘 手术 治疗 栓塞 激光,0
抵抗力 感冒 症状 阿莫西林 治疗,排卵 月经 排卵 排卵 怀孕,0
足癣 症状 水疱 脱皮 皮肤 糜烂 皮肤 开裂 感染 化脓 红肿 疼痛 康复 传染 手癣 真菌 甲癣 手足癣 治愈 皮肤病 手足癣 皮肤 传染病 卫生,怀孕 胎儿 发育 叶酸 肝脏 叶酸 肝脏,0
低血压 头晕 症状 症状 口服,大腿 针灸,0
月经 月经 排卵,口渴 化验 尿液 检查 血糖 糖尿病,0
痔疮 治疗 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗,肛裂 痔疮 发作 口服 槐角丸 治疗 治疗 保健 排便 预防 便秘 愈合 预防 发作,1
肺癌 肺癌 病人 肝脏 病人 肺癌 病人,四肢 麻木 血管 硬化 恢复,0
月经 月经 排卵,皮质 药物 营养 药物 治疗,0
胎位 产前 检查,皮疹 痤疮,0
避孕 怀孕 乳房 症状 怀孕 月经 怀孕,避孕 怀孕 乳房 症状 怀孕 月经 怀孕,1
月经 怀孕 检查 怀孕 检测 怀孕 B超,怀孕 B超 怀孕,1
怀孕 B超 怀孕,阳虚 金匮肾气丸 右归丸 治疗 肾脏,0
孕妇 胎儿 发育 孕妇 胎儿 孕妇 胎儿 骨骼,荨麻疹 皮肤 粘膜 扩张 水肿 皮肤病 接触 脱敏 治疗,0
精神,羊水 高危 分娩 医院 产前 诊断 羊水 检查 畸形,0
营养 体重,内痔 扩张 直肠 出血 排便 出血 口服 槐角丸 治疗 手术 治疗,0
月经 内分泌 紊乱 月经 月经 中药 月经,皮肤 发热 疫苗,0
怀孕,体质 治疗 缓解 急性 发作 症状 慢性 症状 治疗 预防 复发 支气管炎 中医 中医 中药 治疗 支气管炎 方剂 小青龙汤 麻杏石甘汤 通宣理肺丸 气管炎丸,0
脾虚 消化 补脾益肠丸,感染 治疗,0
症状 皮肤 消退 消毒,症状 皮肤 消退 消毒,1
血压 低血压 血压 贫血 贫血 检查 血常规 红细胞 血红蛋白,治疗,0
麻木 糖尿病 药物 神经炎 脑血管 疾病 颈椎病 血管 疾病 麻木 治疗 病因 治疗 医院 神经 内科 检查 病因 治疗 颈椎病,睡眠 营养 消化,0
颈椎病 椎间孔 颈部 脊髓 神经根 临床 症状 疾病 患者 口服 药物 治疗 缓解 疼痛 消炎 肌肉 治疗 颈椎 软组织 劳损 治疗 四肢 麻木 患者 神经 营养 药物 康复 神经 恢复,颈椎病 症状 医院 检查 针灸 按摩 口服 天麻胶囊 伸筋活络丸 药物 治疗,1
腰椎 治疗 按摩 针灸 理疗 药物 缓解 症状 髓核 复位 骨科 检查 手术 治疗 理疗,腰椎 治疗 按摩 针灸 理疗 药物 缓解 症状 髓核 复位 骨科 检查 手术 治疗 理疗,1
医院,排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,0
皮质 药物 营养 药物 治疗,胎儿,0
月经 月经,艾滋病 急性期 症状 感冒 不适 症状 诊断 艾滋病 高危 症状 症状 诊断 艾滋病 高危 抗体 检测 感染,0
腰椎 治疗 临床 治愈 腰椎 治疗 部位 药物 腰椎 脊柱 椎间盘 复位 复发,腰痛 症状 医院 检查 腰椎 骨质 增生 坐骨神经痛 理疗 推拿 按摩 治疗 腰肌劳损,1
腰椎 治疗 治疗 腰椎 椎间盘,血压 低压 高压,0
医院 检查 胎儿 怀孕 怀孕 营养 叶酸 微量元素,怀孕 胎儿 发育 叶酸 肝脏 叶酸 肝脏,1
阴道炎 非特异性阴道炎 阴道 外阴 瘙痒 尿频 尿痛 治疗 甲硝唑 阴道 泡腾片 阴道,阴道 血性 外阴 症状 瘙痒 阴道炎 外阴 瘙痒 灼痛 尿频 尿急 白带 医院 检查,1
怀孕,尖锐湿疣 尖锐湿疣 感染 尖锐湿疣 尖锐湿疣 病理 鳞状细胞癌 损害 尿道 窦道 治疗 尖锐湿疣 损伤 临床,0
月经 白带 炎症 医院 检查 治疗,腰痛 月经 血量 症状 阴道炎 医院 检查 治疗,1
营养,风湿性关节炎 急性 慢性 结缔组织 炎症 发作 心脏 临床 关节 肌肉 疼痛 风湿热 急性 发热 关节 疼痛 起病 矫形 手术 关节 滑膜 手术 治愈 疾病 关节,0
胎盘,荨麻疹 皮肤 粘膜 扩张 水肿 皮肤病 接触 脱敏 治疗,0
治疗,治疗,1
高血压 糖尿病 动脉硬化,乳房 月经 排卵 激素 症状 乳房 医院 外科 乳腺 B超 检查 诊断 治疗,0
月经 排卵 月经 怀孕 B超 检查 怀孕 搏动 怀孕 医院 B超 孕囊 发育,感冒,0
洗液 外阴 卫生 外阴,感冒,0
痔疮 人体 直肠 粘膜 肛管 皮肤 静脉丛 扩张 息肉 人体 肿块 良性肿瘤 肛门 息肉 肛管 直肠 粘膜 慢性 良性肿瘤 医院 检查 治疗,怀孕,0
怀孕 胎儿 营养 发育 蛋白质 营养,治疗 中医 治疗,0
脾虚 失调,毛囊炎 消炎 百多邦 症状 性病 血液 检查,0
孕妇 胎儿 发育 孕妇 胎儿 孕妇 胎儿 骨骼,支原体 感染 强力霉素 治疗 治疗,0
肝脏,症状 炎症 口服液 药物 治疗,0
中医,口渴 化验 尿液 检查 血糖 糖尿病,0
克拉霉素 治疗 卫生,猕猴桃,0
口服,带状疱疹 病毒 脊髓 抵抗力 感染 感冒 发烧 病毒 神经纤维 皮肤 神经 皮肤 炎症 皮疹 神经 疱疹 疼痛 神经痛 医学 带状疱疹 带状疱疹 患者 治疗 体内 病毒 病毒 体外 后遗症 治疗 病毒,0
月经 排卵 月经 月经 检测 怀孕,临床 白术散 治疗,0
痔疮 治疗 排便 消化 肛管 痔疮膏 痔疮栓 手术 治疗,胶囊 治疗 痔疮 痔疮 复发 医院 肛肠科 治疗 消化,1
麻木 颈椎病 疗法 颈椎 麻木 颈部,转氨酶 肝功能 转氨酶 维生素 免疫系统 细菌 免疫力,0
痔疮 症状 瘙痒 便血 疼痛 内痔 外痔 混合痔 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 痔疮 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗,怀孕 胎儿 营养 发育 蛋白质 营养,0
出血 痔疮 肛裂 便血 患者 治疗 便秘 纤维素 排便,感冒,0
胎儿 检查 胎儿,B超 检查 胎儿,1
皮疹 痤疮,恢复 恢复,0
感染 艾滋病 病毒 血液 血液 接触 注射 输血 血液 传染,骨折 关节 恢复 关节 恢复 恢复,0
糖尿病 临床 乏力 并发症 药物 治疗 检查 疾病,胸闷 气短 乏力 背痛 症状 疾病 贫血 综合症 糖尿病 检查 心电图 激素 血糖 诊断 对因治疗,1
血压 低压 高压,炎症 治疗,0
晚孕,肝胆湿热 症状 知柏地黄丸 知柏地黄丸 湿热 化生,0
肠炎 药物 结肠 小肠 机能 食管 胆囊 医院 检查 治疗,感冒,0
肌肉 医院 骨外科 检查 治疗 康复 恢复 药物 营养 按摩 理疗 康复 恢复 骨外科 检查 止痛 药物,高血压 糖尿病 动脉硬化,0
脓肿 手术 卫生 营养,颈椎病 症状 疼痛 头痛 头晕,0
怀孕,四肢 血液 四肢 治疗 桂附地黄丸,0
尿频 尿常规 慢性 前列腺炎 医院 泌尿 外科 化验 细菌 治疗,新生儿,0
排卵 排卵 避孕 怀孕 怀孕 月经 怀孕 精神,月经 精神 月经 月经 怀孕 月经 月经 医院 检查 内分泌 乌鸡白凤丸 药物 月经 排卵 避孕 避孕套 避孕,1
怀孕 月经 月经 排卵 排卵 月经 月经 怀孕,中医,0
怀孕 怀孕 精子 卵子 怀孕 月经 怀孕 月经 怀孕 怀孕 怀孕,缓解,0
感冒,肌肉 强直 肌肉 疼痛 血管 病变 静脉曲张 慢性 疾病 孕妇 疾病 病变 神经 病变 药物,0
前列腺炎 疾病 前列腺炎 包皮过长 治疗 抗生素 物理疗法 药物 治疗 消化 前列腺 治疗 感染 医院,胎儿 怀孕,0
出血 疾病 疾病 肛肠科 疾病 便血 出血 便血 疾病 症状 疾病 出血 临床 检查 诊断,怀孕,0
药物 治疗 中药 治疗,怀孕 手术 产前 检查 血常规 尿常规 心电图 B超 肝功能 肾功能 检查,0
怀孕 月经 医院 检查 怀孕 早孕 医院 检查 检查 治疗,月经 避孕 怀孕 早孕 检查 怀孕,1
出血 痔疮 痔疮 肠炎 治疗 痔疮 肛裂 肛肠 医院 手术 康复 治疗 痔疮 肛裂,混合痔 肛裂 混合痔 复发 出血 混合痔 手术 治疗 排便 药物 预防 感染,1
血压 血压 血压,真菌 感染 复方 特比萘芬 乳膏 复发,0
痔疮 排便 预防 便秘,精神 患者 自杀 精神病 精神病 医院 诊治 精神病 药物 治疗 患者,0
乳腺 增生 疼痛 逍遥丸 治疗 医院,热敷 按摩 肿块 消退 发热 疼痛 医院 治疗 乳腺炎,1
医院 检查,排卵 月经 卵子 卵巢 受精 精子 受精 卵子 排卵 排卵,0
便秘 婴儿 排便 排便 排便 便秘 排便 药物,高压 低压 高血压,0
乳腺 增生 呼吸道 感染 检查 治疗,四肢 麻木 血管 硬化 恢复,0
肾脏 发育 异位 肾发育不全 腰痛 高血压,感染 卫生,0
月经 月经 感染 月经,低钙血症 肢体 抽搐 肢体 抽搐 化验 血液 低钙血症 肢体 抽搐 治疗,0
胎儿,头痛 疼痛 症状 临床 症状 头痛 睡眠 睡眠 疾病 头痛 恢复 头痛 病因 治疗,0
艾滋病 急性期 症状 感冒 不适 症状 诊断 艾滋病 高危 症状 症状 诊断 艾滋病 高危 抗体 检测 感染,大脑,0
治疗,便血 出血 肛门 便血 肠镜 检查 便血 出血 结肠 直肠 出血 上消化道出血 便血 皮肤 器官 出血 血液 疾病 疾病 白血病 弥散性血管内凝血,0
腰椎 理疗 手术 治疗 治疗,新生儿,0
精神,怀孕 胎儿,0
口服,颈椎 CT 检查 症状 医学 中医 中医 骨关节 脊柱 疾病 治疗 脊柱 骨关节 疾病 颈椎病 腰椎,0
人体 胎儿 畸形,荨麻疹 皮肤 粘膜 扩张 水肿 皮肤病 接触 脱敏 治疗,0
检查 羊水 羊水 羊水 羊水 检查 羊水 羊水 羊水,口干 体质 中药 治疗,0
胆囊 结石 治疗 结石 结石 药物 治疗 中医 中医 治疗 胆固醇,体质 免疫力 感冒 感冒 预防 免疫力 呼吸道 气管 支气管 免疫 呼吸道 病毒 感冒,0
怀孕,直肠 疾病 痔疮 肛裂 出血 出血 医院,0
脾虚 消化 补脾益肠丸,感染 治疗,0
肛门 脱出 肛门 外痔 治疗 痔疮膏 治疗 手术 治疗,肛裂 痔疮 医疗 检查 疾病 治疗,1
口服 赛庚啶 治疗 炉甘石洗剂 卫生 发作 医院 过敏 接触,怀孕,0
感冒,痔疮 症状 瘙痒 便血 疼痛 内痔 外痔 混合痔 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 痔疮 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗,0
羊水 胎儿 缺氧 胎儿 缺氧,中药 清热解毒 体内 抑制 缓解,0
乳房 假体 乳腺 胸大肌 手术 乳腺 体内 激素 分泌 婴儿 怀孕,感冒,0
排卵 月经 排卵 排卵 怀孕,神经 血管 神经 血管 肌肉 热敷 按摩 医院 检查 治疗,0
接触 感冒,检查 羊水 羊水 羊水 羊水 检查 羊水 羊水 羊水,0
股癣 人体 部位 真菌 感染 皮肤病 大腿 腹股沟 会阴 部位 卫生 感染 毛囊炎 皮肤 制剂 癣药水 药膏 复方土槿皮酊,血压 高压 低压,0
支气管炎 细菌 病毒 感染 口服液 口服液,骨折 手术 复位 手术 复位 手术,0
针灸 按摩 刮痧 芬必得 缓解 症状,空腹 血糖,0
患者,羊水 混浊 胎粪 胎儿 缺氧 胎儿 胎粪 吸入性肺炎 胎儿 发育 妊娠,0
精液 精子 器官 前列腺 精子 精子 精液 精子 精液 精液 精液 精液 精液 受精 精液 精液 精子,中药 治疗,0
中药,怀孕 体外 射精 怀孕 阴茎 阴道 精液 阴道 射精 射精 阴茎 阴道 精液 阴道 精液 精子 怀孕,0
支气管炎 治疗 康复 发育 预防,充血 皮肤 充血 皮肤,0
股癣 人体 部位 真菌 感染 皮肤病 大腿 腹股沟 会阴 部位 卫生 感染 毛囊炎 皮肤 制剂 癣药水 药膏 复方土槿皮酊,怀孕,0
脾虚 失调,治疗 感染 治疗 药物 愈合 瘢痕 表皮生长因子 药物 药物,0
心律平,患者 痱子 消炎 治疗 痱子 预防,0
精神,月经 怀孕 月经 怀孕,0
搽剂 治疗 皮肤 药物,胎儿 胎儿 胎位,0
包皮 手术,咳嗽 感冒 炎症 感冒 炎症 治疗,0
羊水 胎儿 缺氧 胎儿 缺氧,排毒养颜胶囊 治疗 多西环素 丹栀逍遥丸 治疗,0
尿路感染 尿路感染 尿频 尿急 尿痛 前列腺炎 急性肾小球肾炎 慢性 肾小球肾炎 肾炎 肾炎 医院 血脂 血压,哺乳期 发育,0
包皮 阴茎 皮肤 包皮 包皮 包皮 生殖器 发育 阴茎 包皮 阴茎 包茎 阴茎 包皮过长 卫生 疾病 包皮过长 尿路感染,感冒,0
精液 炎症 精液 变性 睾丸炎 附睾炎 精囊炎 前列腺炎 精液 检查,晚孕,0
白癜风 治疗 白癜风 患者 治疗 白癜风 疾病 白癜风 患者 患者 白癜风 治疗 患者 患者 治疗,羊水 检查,0
